Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2011,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,NARCOTICS,3099,3093,1
2011,Restaurant,Roma Pizza,105 w madison st ,False,False,NARCOTICS,3099,3093,1
2011,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,NARCOTICS,3099,3093,1
2011,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,NARCOTICS,3099,3093,1
2011,Restaurant,Cellars Market,141 w jackson blvd ,False,False,NARCOTICS,3056,3054,3
2011,Restaurant,Ceres Cafe,141 w jackson blvd ,False,False,NARCOTICS,3056,3054,3
2011,Restaurant,65 Asian Kitchen,111 w jackson blvd ,False,False,NARCOTICS,3056,3054,3
2011,Restaurant,Around the Corner,325 s franklin st ,False,False,NARCOTICS,2934,2932,1
2011,Restaurant,Pockets,329 s franklin st ,False,False,NARCOTICS,2934,2932,1
2011,Restaurant,I Dream Of Falafel,331 s franklin st ,False,False,NARCOTICS,2934,2932,1
2011,Restaurant,Petra Cafe,331 s franklin st ,False,False,NARCOTICS,2934,2932,1
2011,Restaurant,Quiznos,333 s franklin st ,False,False,NARCOTICS,2934,2932,1
2011,Grocery,Bockwinkel's,222 n columbus dr ,True,False,THEFT,2927,475,7
2011,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,NARCOTICS,2789,2787,1
2011,Restaurant,Exchequer Restaurant & Pub,226 s wabash ave ,True,False,THEFT,2735,268,9
2011,Restaurant,Delmonico,111 w washington st ,False,False,NARCOTICS,2620,2614,1
2011,Restaurant,BomBon 4,170 w washington st ,False,False,NARCOTICS,2620,2614,1
2011,Restaurant,Ruby of Siam,170 w washington st ,False,False,NARCOTICS,2620,2614,1
2011,Restaurant,Cardozo's Pub,170 w washington st ,True,False,NARCOTICS,2620,2614,1
2011,Restaurant,Wow Bao,225 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,Bennigan's,225 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,Wow Bow,225 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,Ponte Fresco,225 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,Alonti Cafe,225 n michigan ave ,False,False,THEFT,2602,450,10
2011,School,G Skin and Beauty Institute,200 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,China Grill,230 n michigan ave ,True,True,THEFT,2602,450,10
2011,Restaurant,Vista Carry Out,233 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,The Great Steak & Potato Company,233 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,Fresh Choice,233 n michigan ave ,False,False,THEFT,2602,450,10
2011,Grocery,Rise N Roll Amish Market,233 n michigan ave ,False,False,THEFT,2602,450,10
2011,Restaurant,Heaven On Seven On Wabash,111 n wabash ave ,False,False,THEFT,2540,226,14
2011,Restaurant,au bon pain,122 s michigan ave ,False,False,BATTERY,2481,565,3
2011,Restaurant,Osaka Express,400 s michigan ave ,False,False,THEFT,2458,149,2
2011,Restaurant,Artist's Cafe,412 s michigan ave ,False,True,THEFT,2458,149,2
2011,Restaurant,Petterino's,150 n dearborn st ,False,False,THEFT,2447,259,6
2011,Restaurant,Subway,125 s clark st ,False,False,THEFT,2437,256,3
2011,Restaurant,Palm Restaurant,323 e wacker dr ,True,False,THEFT,2415,105,3
2011,Restaurant,Pret A Manger,211 w adams st ,False,False,BATTERY,2408,542,2
2011,Restaurant,Sopraffina Marketcaffe,222 w adams st ,False,False,BATTERY,2408,542,2
2011,Restaurant,Sbarro,211 w adams st ,False,False,BATTERY,2408,542,2
2011,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Mezza,181 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Roma Pizza,105 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,THEFT,2403,269,8
2011,Restaurant,Native Foods Cafe,218 s clark st ,False,False,THEFT,2386,251,1
2011,Restaurant,Delmonico,111 w washington st ,False,False,THEFT,2378,256,3
2011,Restaurant,BomBon 4,170 w washington st ,False,False,THEFT,2378,256,3
2011,Restaurant,Ruby of Siam,170 w washington st ,False,False,THEFT,2378,256,3
2011,Restaurant,Cardozo's Pub,170 w washington st ,True,False,THEFT,2378,256,3
2011,Restaurant,Subway,125 s clark st ,False,False,BATTERY,2346,532,3
2011,Restaurant,Native Foods Cafe,218 s clark st ,False,False,BATTERY,2345,527,1
2011,Restaurant,Spa Cafe,112 w monroe st ,False,False,THEFT,2339,264,5
2011,Restaurant,I Dream of Falafel,112 w monroe st ,False,False,THEFT,2339,264,5
2011,Restaurant,Cosi,230 w monroe st ,False,False,BATTERY,2336,517,1
2011,Restaurant,Bon Appetit,227 w monroe st ,False,True,BATTERY,2336,517,1
2011,Restaurant,Jersey Mike's Subs,200 w monroe st ,False,False,BATTERY,2336,517,1
2011,Restaurant,Boston Blackies,120 s riverside plz ,False,False,BATTERY,2312,513,1
2011,Restaurant,Heaven On Seven On Wabash,111 n wabash ave ,False,False,NARCOTICS,2281,2275,3
2011,Restaurant,Uncle Abe's Deli,122 s franklin st ,False,False,THEFT,2267,250,2
2011,Restaurant,Quizno's,128 s franklin st ,False,False,THEFT,2267,250,2
2011,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,NARCOTICS,2266,2260,1
2011,Restaurant,Sushi Sai,123 n wacker dr ,False,False,NARCOTICS,2266,2260,1
2011,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,NARCOTICS,2266,2260,1
2011,Restaurant,Pret A Manger,211 w adams st ,False,False,THEFT,2251,253,4
2011,Restaurant,Sopraffina Marketcaffe,222 w adams st ,False,False,THEFT,2251,253,4
2011,Restaurant,Sbarro,211 w adams st ,False,False,THEFT,2251,253,4
2011,Restaurant,Pizzahut Express,225 s canal st ,False,False,BATTERY,2242,503,4
2011,Restaurant,Burrito Beach,210 s canal st ,False,False,BATTERY,2242,503,4
2011,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,BATTERY,2242,503,4
2011,Restaurant,Nino Paninos,225 s canal st ,False,False,BATTERY,2242,503,4
2011,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,BATTERY,2242,503,4
2011,Restaurant,Cosi,230 w monroe st ,False,False,THEFT,2238,263,5
2011,Restaurant,Bon Appetit,227 w monroe st ,False,True,THEFT,2238,263,5
2011,Restaurant,Jersey Mike's Subs,200 w monroe st ,False,False,THEFT,2238,263,5
2011,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Mezza,181 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Roma Pizza,105 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,BATTERY,2237,480,3
2011,Restaurant,Qdoba Mexican Grill,328 n michigan ave ,False,False,THEFT,2219,88,14
2011,Restaurant,Osaka Express,400 s michigan ave ,False,False,NARCOTICS,2211,2209,3
2011,Restaurant,Artist's Cafe,412 s michigan ave ,False,True,NARCOTICS,2211,2209,3
2011,Restaurant,Potbelly Sandwich Works,303 w madison st ,False,False,BATTERY,2203,476,1
2011,Restaurant,Protein Bar,221 w washington st ,False,False,THEFT,2197,247,7
2011,Restaurant,Med Kitchen,219 w washington st ,False,False,THEFT,2197,247,7
2011,Restaurant,Indian Express,120 n wells st ,False,False,THEFT,2195,239,9
2011,Restaurant,Off the Tracks Grill,190 n wells st ,False,False,THEFT,2195,239,9
2011,Restaurant,Sixty Five Chinese Restaurants,176 n wells st ,False,False,THEFT,2195,239,9
2011,Restaurant,Bombay Wraps,122 n wells st ,False,False,THEFT,2195,239,9
2011,Restaurant,Curried Loop,171 n wells st ,False,False,THEFT,2195,239,9
2011,Restaurant,Pierogi Heaven,169 n wells st ,False,False,THEFT,2195,239,9
2011,Restaurant,The Metropolitan Club,233 s wacker dr ,False,False,BATTERY,2189,494,3
2011,Restaurant,Venice Cafe,233 s wacker dr ,False,False,BATTERY,2189,494,3
2011,Restaurant,Currents on the River,200 s wacker dr ,False,False,BATTERY,2189,494,3
2011,Restaurant,Cellars Market,141 w jackson blvd ,False,False,BATTERY,2167,470,2
2011,Restaurant,Ceres Cafe,141 w jackson blvd ,False,False,BATTERY,2167,470,2
2011,Restaurant,65 Asian Kitchen,111 w jackson blvd ,False,False,BATTERY,2167,470,2
2011,Restaurant,Au Bon Pain,125 s wacker dr ,False,False,THEFT,2161,249,4
2011,Restaurant,Townhouse Restaurant & Wine Bar,111 s wacker dr ,False,False,THEFT,2161,249,4
2011,Restaurant,South Branch,100 s wacker dr ,False,False,THEFT,2161,249,4
2011,Restaurant,Gina's Cuisine,424 s wabash ave ,False,False,THEFT,2157,112,6
2011,Restaurant,Oriental Express,233 e wacker dr ,False,False,THEFT,2156,81,1
2011,Restaurant,Delmonico,111 w washington st ,False,False,BATTERY,2153,455,3
2011,Restaurant,BomBon 4,170 w washington st ,False,False,BATTERY,2153,455,3
